0.0091 3.8e+7
0.014 1.8e+7
0.025 5.1e+6
0.047 1.3e+6
0.082 3.4e+5
0.15 6.6e+4
0.26 1.3e+4
0.47 2.3e+3
0.80 5.3e+2
1.5 1.5e+2
2.6 43
5.1 11
12 1.8
22 0.48
51 0.080
1.3e+2 0.010
3.1e+2 0.0015
6.9e+2 0.00037
1.4e+3 0.000065
