1.0 16
1.5 15
2.2 15
3.0 14
4.0 13
5.0 12
6.7 10
9.3 8.9
13 7.4
17 6.3
21 5.7
28 5.0
37 4.4
49 4.0
68 3.6
1.0e+2 3.2
1.3e+2 3.1
